ages.i,tjja.central.degC,tjja+1sigma,tjja-1sigma,tdjf.Central.degC,tdjf+1sigma,tdjf-1sigma,tjja.GradientDifference.degC,tdjf.GradientDifference.degC
2150,18.5084885,18.9839602,18.0330168,-3.571400813,-3.095929115,-4.046872511,-0.203279044,-1.354563992
2200,18.50803719,18.98350889,18.03256549,-3.555688641,-3.080216943,-4.031160339,-0.181064797,-1.348591103
2250,18.5017078,18.9771795,18.0262361,-3.543350067,-3.067878369,-4.018821765,-0.210069777,-1.420037629
2300,18.49761445,18.97308615,18.02214275,-3.55399471,-3.078523012,-4.029466408,-0.218197378,-1.373171383
2350,18.49827727,18.97374897,18.02280557,-3.553051674,-3.077579976,-4.028523372,-0.215077055,-1.359001948
2400,18.50666591,18.98213761,18.03119421,-3.52400368,-3.048531982,-3.999475378,-0.238907205,-1.338577485
2450,18.49416461,18.96963631,18.01869291,-3.474358236,-2.998886538,-3.949829934,-0.311398848,-1.384881842
2500,18.47874415,18.95421585,18.00327245,-3.418345355,-2.942873657,-3.893817053,-0.371224351,-1.318430998
2550,18.45202533,18.92749703,17.97655363,-3.468168288,-2.99269659,-3.943639986,-0.378261929,-1.425459315
2600,18.43838399,18.91385569,17.96291229,-3.579305086,-3.103833388,-4.054776784,-0.451674547,-1.766725241
2650,18.42890476,18.90437646,17.95343306,-3.680146539,-3.204674841,-4.155618237,-0.508715013,-1.988513902
2700,18.43438305,18.90985475,17.95891135,-3.713546461,-3.238074763,-4.189018159,-0.501389039,-1.932669072
